"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4585", "5627",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3887", "3887",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1347", "1886",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3037", "3037",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "23060", "50642",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "54061", "57205",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "8273", "10609",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "15239", "15239",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "23971", "44463",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "32420", "44879",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "5208", "8866",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "8415", "8415",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "10834", "10834",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "32680", "36145",""
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "39554", "42924",""
