"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "714", "1106",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2540", "2540",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "454", "454",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2008", "2008",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "4977", "5434",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "7664", "7664",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "753", "768",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "1545", "1545",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "1654", "1878",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "4998", "4998",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "930", "976",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3086", "3086",""
"Malaviya National Institute of Technology Jaipur", "Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "281", "281",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "8511", "26460",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "25754", "30082",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1642", "1642",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4069", "4324",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5959", "5959",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "7026", "8796",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "10340", "12375",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "913", "913",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3489", "5168",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6321", "7331",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1026", "1470",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1551", "1551",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "18617", "22184",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "16784", "28381",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "660", "660",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3522", "3634",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "4585", "4585",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6824", "8811",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "12302", "13575",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "632", "632",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3247", "4527",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5356", "5799",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1861", "2068",""
"Malaviya National Institute of Technology Jaipur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2681", "2681",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "14341", "29650",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "30183", "36539",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "353", "439",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4591", "4689",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5809", "5809",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8147", "9495",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "13057", "14355",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2045", "3944",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2632", "4167",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "88", "88",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "378", "545",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1944", "1944",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "18397", "27548",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "32829", "38497",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "578", "578",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4235", "4489",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "6135", "6135",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "238", "238",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "9204", "9915",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "12188", "14650",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3426", "4400",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2281", "5056",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "94", "94",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1020", "1601",""
"Malaviya National Institute of Technology Jaipur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2187", "2187",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "1974", "5659",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "2990", "7130",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "198", "198",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "744", "791",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "1028", "1028",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS (PwD)", "Gender-Neutral", "131", "131",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "1185", "2045",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "2452", "2840",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "115", "115",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "591", "1045",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "1655", "2084",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "93", "220",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "867", "867",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "2535", "4490",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "3545", "6208",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "98", "98",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "381", "381",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "670", "725",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "1242", "1242",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "1312", "1647",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "2428", "3613",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "53", "53",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "388", "892",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "1493", "1493",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "19", "19",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "160", "272",""
"Malaviya National Institute of Technology Jaipur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "280", "280",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "9596", "14294",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "17602", "19387",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2088", "2312",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "3401", "3401",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "3696", "5032",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "8744", "8959",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "910", "910",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1463", "2493",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2984", "2984",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "517", "552",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1146", "1146",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "7944", "13304",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "17623", "19608",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "504", "504",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1966", "2052",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3836", "3836",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "3643", "5197",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "7835", "8141",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "250", "250",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2065", "2684",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4004", "4377",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1080", "1102",""
"Malaviya National Institute of Technology Jaipur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1869", "1869",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "5817", "9269",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "9546", "13428",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "1306", "1389",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "2101", "2101",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "2360", "3333",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "3138", "7320",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "313", "313",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1151", "2087",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2253", "2253",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "456", "551",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1945", "1945",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "6828", "8957",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "11557", "13942",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "686", "686",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1299", "1415",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2200", "2200",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "74", "74",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2393", "3438",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "4869", "5719",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "177", "177",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "1007", "1951",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2692", "2692",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "496", "818",""
"Malaviya National Institute of Technology Jaipur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1284", "1284",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "15193", "19294",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "28468", "32612",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1402", "1402",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3007", "3149",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5654", "5654",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "5106", "6968",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "10900", "11419",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "1047", "1047",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2137", "3437",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "3221", "4359",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "618", "1017",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2025", "2025",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "13896", "18856",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "22972", "28845",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "854", "854",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2803", "3018",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5414", "5414",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "205", "205",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "5592", "7043",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "12056", "13019",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2943", "3862",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6044", "6044",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1196", "1658",""
"Malaviya National Institute of Technology Jaipur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2310", "2310",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "28999", "32268",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "37724", "39589",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "2383", "2383",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5203", "5494",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "6866", "6866",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "9060", "11385",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "14022", "14657",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "5498", "6074",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1698", "1698",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2438", "2438",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "22985", "34930",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "36606", "38174",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "2247", "2247",""
"Malaviya National Institute of Technology Jaipur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5566", "5595",""
