"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank","Closing Rank" ,"Institute Type"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "8218","8752" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "14784","14784" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "22245","25134" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "30016","31447" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3336","6471" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "8856","9028" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1098","3103" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "9091","9091" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "27972","42439" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "46257","49137" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6760","6867" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8448","8448" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "12024","13394" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16507","19194" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "1108","1108" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4026","6445" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "8003","8208" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1923","1965" ,"NIT"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2803","2803" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "3070","12851" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "2136","13339" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "311","311" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "808","808" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2844","3980" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5060","7985" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS (PwD)", "Gender-Neutral", "93","93" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "3034","7327" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "4271","7953" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "164","164" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "725","1452" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "1161","2745" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "55","55" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "374","883" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1215","1375" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "6848","10070" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "9628","13772" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "172","172" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1407","1530" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2110","2890" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2238","3023" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "5162","6062" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "83","83" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "901","1891" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2398","3013" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "27","27" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "351","458" ,"NIT"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "621","910" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16327","22248" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "24587","33699" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "228","228" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4720","5325" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "12947","12947" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8938","14894" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "18289","19889" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1560","3596" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2878","3480" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "138","138" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1491","2562" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "4881","4881" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "16330","21383" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "26444","32447" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "743","743" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3251","3338" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5429","5429" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6200","7053" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "11931","13023" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "756","756" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3617","3899" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4423","5550" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "986","1155" ,"NIT"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2112","2112" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "13551","17902" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "17861","23480" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1778","1778" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4443","4854" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "10767","10767" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "7928","11055" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "11892","18167" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1220","2561" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2528","2528" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "913","1345" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "3669","3669" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "10707","14893" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "19985","21056" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "457","457" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2184","2251" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3318","3318" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4030","5130" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "7456","8847" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2473","2787" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2952","3977" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "67","67" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "536","653" ,"NIT"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1534","1534" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "23314","31028" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "37874","41428" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1271","1271" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1866","1866" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5795","7120" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "12248","13853" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "15238","19949" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "26661","30071" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3880","5198" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "7265","8359" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "3294","4554" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "6182","9364" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "24386","32121" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "35964","39284" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1395","1395" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5101","5279" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7487","7752" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "8829","9991" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15751","16728" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4756","5894" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "7410","8498" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1599","1938" ,"NIT"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2361","2665" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "40319","48577" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "49454","54965" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1742","1742" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "7870","8687" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "15515","15515" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "21977","27406" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "35498","35498" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "5912","6843" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "10211","10211" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "5941","5941" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "7280","7280" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "40669","48099" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "52348","56482" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7921","7990" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "9320","9320" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "13833","15469" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "19672","19672" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7127","8009" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "10048","10048" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2776","2838" ,"NIT"
"National Institute of Technology Durgapur", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3447","3447" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Gender-Neutral", "75025","114874" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Female-only (including Supernumerary)", "83651","83651" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "GO", "OBC-NCL", "Gender-Neutral", "70716","126208" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "GO", "OBC-NCL", "Female-only (including Supernumerary)", "100835","100835" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "62197","62197" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "94339","94339" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "44498","47155" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "51203","54176" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1603","1603" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7652","7652" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "14383","15463" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "17090","17090" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5570","7208" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "10449","10449" ,"NIT"
"National Institute of Technology Goa", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2005","2005" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Gender-Neutral", "17553","25176" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Female-only (including Supernumerary)", "21386","21386" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "EWS", "Gender-Neutral", "6187","42526" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "OBC-NCL", "Gender-Neutral", "22945","39889" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "SC", "Gender-Neutral", "7869","18042" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "SC", "Female-only (including Supernumerary)", "19407","19407" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "ST", "Gender-Neutral", "3844","3844" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "GO", "ST", "Female-only (including Supernumerary)", "6645","6645" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "17250","17250" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "4817","4817" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "37393","37393" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "8584","12604" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "15118","17146" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1949","1949" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4135","4740" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "4155","4155" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "1979","2655" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "3129","3129" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "78","78" ,"NIT"
"National Institute of Technology Goa", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "236","236" ,"NIT"
"National Institute of Technology Goa", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Gender-Neutral", "41717","70146" ,"NIT"
"National Institute of Technology Goa", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "GO", "OPEN", "Female-only (including Supernumerary)", "46339","46339" ,"NIT"
