"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank","Closing Rank" ,"Institute Type"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9119","9119" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2996","3224" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "37060","52318" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "43274","49375" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "9727","10609" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "14480","14480" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "43156","53945" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "41068","44879" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "8437","9930" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "8729","8729" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "37066","40417" ,"NIT"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "39382","45889" ,"NIT"
