"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","State","Institute Type"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4647", "5369","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "13264", "15553","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "19899", "21498","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "7582", "9437","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "9288", "9288","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1965", "1965","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "2990", "2990","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "14034", "23412","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "31977", "35840","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "922", "922","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3997", "4418","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "6862", "6862","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "8792", "9052","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "13323", "13901","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "492", "492","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4966", "5257","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5721", "5721","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1958", "2069","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "27486", "41318","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "41413", "60709","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "7555", "7757","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "15715", "17436","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "20090", "30036","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "7324", "9388","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "9554", "9554","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1861", "1861","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "21500", "27766","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "38204", "48048","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4482", "4517","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7776", "7776","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "9288", "10611","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15377", "15377","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5051", "5712","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6118", "6118","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1465", "1538","Karnataka","NIT"
"National Institute of Technology Karnataka, Surathkal", "Mining Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3223", "3223","Karnataka","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "169930", "169930","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "296304", "296304","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "2211", "12084","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "7985", "8698","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "45085", "49836","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "60488", "65404","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "8643", "8643","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "17008", "18001","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "23119", "23119","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7619", "7662","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2156", "2156","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "31545", "31545","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "198857", "198857","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "30856", "30856","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "17255", "19897","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "2763", "7348","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "4705", "4705","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "14656", "20039","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "35153", "35153","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3386", "3386","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "323", "323","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "5251", "7086","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "13146", "13146","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3059", "3059","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "5288", "5288","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1031", "1031","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "188231", "188231","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "459245", "459245","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "39020", "39020","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "27941", "27941","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "3797", "18350","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "18898", "19966","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "29518", "36106","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "43307", "43307","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6271", "6309","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "11675", "12834","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "18540", "18540","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "1040", "1040","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7111", "7193","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "3815", "3815","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "55668", "102988","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "365786", "365786","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "2172", "18329","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "8248", "21839","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "27786", "29484","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "43057", "43057","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1802", "1802","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "4726", "4726","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7028", "7028","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "9316", "9487","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "18059", "18059","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4878", "4878","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "6961", "6961","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1463", "1463","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "162491", "162491","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "458027", "458027","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "39038", "39038","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "11165", "18638","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "16864", "16864","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "42899", "48332","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "53708", "53708","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7819", "7819","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "14581", "14596","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "19920", "19920","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7521", "7688","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "11251", "11251","Meghalaya","NIT"
"National Institute of Technology Meghalaya", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2944", "2952","Meghalaya","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "3299", "11973","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "5162", "7255","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "51582", "57171","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "67166", "68939","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "9413", "9480","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "17567", "18671","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "24688", "24688","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "8435", "8804","Nagaland","NIT"
"National Institute of Technology Nagaland", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "11364", "11364","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "5615", "10791","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "6603", "12883","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "22429", "31391","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "38249", "38249","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1770", "1770","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5204", "5233","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "465", "465","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "9073", "10561","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Female-only (including Supernumerary)", "1748", "1748","Nagaland","NIT"
"National Institute of Technology Nagaland", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4460", "5063","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "11211", "21638","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "19133", "20361","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "44822", "47335","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "52564", "54153","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "3249", "3249","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "7865", "7966","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "14309", "15609","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "19496", "19496","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6738", "6738","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electrical and Electronics Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9576", "9576","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "13098", "29330","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "6132", "13947","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "33367", "42889","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "44560", "51406","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6950", "7052","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "13248", "13259","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "17431", "17431","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6353", "6439","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "19650", "32284","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "13872", "13872","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "45710", "47676","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "54484", "55653","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "3597", "3597","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "8044", "8393","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "15835", "16457","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "20988", "20988","Nagaland","NIT"
"National Institute of Technology Nagaland", "Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7728", "8353","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "6358", "19275","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "25400", "25400","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "48153", "51973","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "63079", "68738","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "8706", "8968","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "17479", "17683","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "23737", "24205","Nagaland","NIT"
"National Institute of Technology Nagaland", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "6658", "7715","Nagaland","NIT"
"National Institute of Technology Patna", "Architecture (5 Years, Bachelor of Architecture)", "HS", "OPEN", "Gender-Neutral", "2451", "6575","Bihar","NIT"
"National Institute of Technology Patna", "Architecture (5 Years, Bachelor of Architecture)", "HS", "OPEN", "Female-only (including Supernumerary)", "3357", "3720","Bihar","NIT"
"National Institute of Technology Patna", "Architecture (5 Years, Bachelor of Architecture)", "HS", "EWS", "Gender-Neutral", "1130", "1276","Bihar","NIT"
"National Institute of Technology Patna", "Architecture (5 Years, Bachelor of Architecture)", "HS", "EWS", "Female-only (including Supernumerary)", "1075", "1075","Bihar","NIT"
